SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,95,10,1,6,14,3,13,18,0,0,1,19,10
Kings,6,0,0,0,0,1,1,1,0,0,0,3,0
Fresno-Kings,101,10,1,6,14,4,14,19,0,0,1,22,10
Madera,72,6,3,13,1,0,11,4,1,0,1,25,7
Mariposa,48,2,1,18,5,0,5,4,1,0,1,6,5
Merced,15,0,0,0,0,1,2,1,0,0,0,9,2
Madera-Mariposa,135,8,4,31,6,1,18,9,2,0,2,40,14
Riverside,172,9,3,15,11,8,27,8,6,0,8,69,8
Riverside,172,9,3,15,11,8,27,8,6,0,8,69,8
Monterey,75,5,5,8,8,2,11,18,2,0,1,6,9
San Benito,21,1,0,4,2,2,4,3,0,0,0,1,4
San Benito-Monterey,96,6,5,12,10,4,15,21,2,0,1,7,13
Inyo,19,1,3,2,0,1,2,0,0,0,1,8,1
San Bernardino,123,3,9,19,3,12,24,10,5,0,4,28,6
San Bernardino,142,4,12,21,3,13,26,10,5,0,5,36,7
San Diego,162,7,3,15,16,12,27,9,1,0,0,65,7
San Diego,162,7,3,15,16,12,27,9,1,0,0,65,7
San Luis Obispo,136,0,4,8,9,2,51,14,2,1,1,32,12
San Luis Obispo,136,0,4,8,9,2,51,14,2,1,1,32,12
Tulare,38,7,1,2,3,1,3,6,0,0,0,11,4
Tulare,38,7,1,2,3,1,3,6,0,0,0,11,4
Calaveras,161,16,1,38,11,31,20,6,5,0,0,30,3
E. San Joaquin,9,2,0,1,4,0,0,0,0,0,0,2,0
E. Stanislaus,22,3,1,1,2,0,5,0,0,0,0,9,1
Tuolumne,85,1,2,15,10,5,13,7,3,0,2,24,3
Tuolumne-Calaveras,277,22,4,55,27,36,38,13,8,0,2,65,7
SOUTHERN  REGION TOTAL,"1,259",73,37,165,99,81,219,109,26,1,20,347,82
STATE TOTAL,"2,922",170,106,444,246,154,445,252,59,4,42,780,220
