SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Elec. Power,,Equip. Use,,Ltng.,,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,57,5,2,12,,5,,,4,1,,9,0,0,1,13,5
Kings,3,0,0,0,,0,,,0,0,,1,0,0,0,0,2
Fresno-Kings,60,5,2,12,,5,,,4,1,,10,0,0,1,13,7
Madera,72,12,4,9,,2,,,3,2,,12,1,0,1,19,7
Mariposa,38,1,2,12,,5,,,1,1,,1,0,0,1,12,2
Merced,14,0,0,0,,2,,,0,0,,1,0,0,0,10,1
Madera-Mariposa,124,13,6,21,,9,,,4,3,,14,1,0,2,41,10
Riverside,106,4,6,12,,7,,,9,5,,15,3,0,4,38,3
Riverside,106,4,6,12,,7,,,9,5,,15,3,0,4,38,3
Monterey,33,0,1,3,,9,,,2,0,,7,0,0,0,6,5
San Benito,11,1,0,1,,3,,,0,0,,4,0,0,0,1,1
San Benito-Monterey,44,1,1,4,,12,,,2,0,,11,0,0,0,7,6
Inyo,19,0,0,2,,1,,,1,2,,2,2,0,0,7,2
San Bernardino,115,10,18,25,,1,,,2,1,,24,2,1,4,25,2
San Bernardino,134,10,18,27,,2,,,3,3,,26,4,1,4,32,4
San Diego,145,4,6,12,,11,,,2,2,,21,0,0,2,66,19
San Diego,145,4,6,12,,11,,,2,2,,21,0,0,2,66,19
San Luis Obispo,85,0,6,4,,10,,,7,0,,21,1,0,2,22,12
San Luis Obispo,85,0,6,4,,10,,,7,0,,21,1,0,2,22,12
Tulare,45,10,2,4,,3,,,4,0,,5,0,0,1,10,6
Tulare,45,10,2,4,,3,,,4,0,,5,0,0,1,10,6
Calaveras,100,1,3,17,,12,,17,,9,,17,3,0,1,13,7
E. San Joaquin,7,0,0,0,,2,,,2,0,,1,0,0,0,0,2
E. Stanislaus,21,1,1,1,,1,,,4,0,,2,0,0,0,8,3
Tuolumne,94,5,1,17,,9,,,5,3,,16,2,0,0,31,5
Tuolumne-Calaveras,222,7,5,35,,24,,28,,12,,36,5,0,1,52,17
SOUTHERN REGION,,,,,,,,,,,,,,,,,
TOTAL,965,54,52,131,,83,,63,,26,,159,14,1,17,281,84
STATE TOTAL,"2,920",213,142,433,,229,,208,,172,,495,48,5,53,678,244
